"Age","Name","Median","LQR","UQR"
"MIS5e","Alpha",13,12,14.5
"MIS5e","Pielou",0.824842561257057,0.689988194266577,0.842327886223764
"MIS5e","Shannon",2.11567939750322,1.71287223803571,2.22174826263273
"Modern","Alpha",9.5,7,13
"Modern","Pielou",0.63381394741806,0.477179198627696,0.732087729465375
"Modern","Shannon",1.21556789310534,0.924777444633639,1.87776795129769
