"Age","ReefZone","TransectsPerZone","TransectMeanLength","TransectSDLength","TransectMeanCoralLength","TransectSDCoralLength"
"MIS5e","Reef edge",3,2185.66666666667,198.812306795463,1862.33333333333,252.587278645092
"MIS5e","Shallow reef slope",4,2277.25,261.650371042479,1550.25,124.419652788456
"Modern","Deeper reef slope",6,3353,480.468937601589,803.833333333333,199.463697616049
"Modern","Reef edge",6,2404.83333333333,161.64828074145,1074.33333333333,244.988707222734
"Modern","Shallow reef slope",6,3373.16666666667,465.439756216276,775.333333333333,173.103052158726
