Index,LT,Age,Country,Locality,Site,Date,GPS Latitude N,GPS Longitude E,End-Start (Intercept),Genus,Species,AphiaID,Depth [m],ReefZone
45,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,10,Porites,sp.,206485,1,Reef edge
46,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,6,Dipsastraea,matthaii,758240,1,Reef edge
47,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,5,Millepora,exaesa,210728,1,Reef edge
48,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,19,Millepora,exaesa,210728,1,Reef edge
49,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,5,Millepora,dichotoma,210733,1,Reef edge
50,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,28,Millepora,dichotoma,210733,1,Reef edge
51,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,2,Millepora,platyphylla,210730,1,Reef edge
52,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,12,Millepora,dichotoma,210733,1,Reef edge
53,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,9,Millepora,dichotoma,210733,1,Reef edge
54,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,2,Millepora,platyphylla,210730,1,Reef edge
55,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,20,Millepora,dichotoma,210733,1,Reef edge
56,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,8,Millepora,dichotoma,210733,1,Reef edge
57,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,33,Millepora,dichotoma,210733,1,Reef edge
58,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,31,Millepora,dichotoma,210733,1,Reef edge
59,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,93,Millepora,dichotoma,210733,1,Reef edge
60,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,10,Millepora,dichotoma,210733,1,Reef edge
61,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,11,Millepora,exaesa,210728,1,Reef edge
62,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,78,Millepora,dichotoma,210733,1,Reef edge
63,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,9,Millepora,exaesa,210728,1,Reef edge
64,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,37,Millepora,dichotoma,210733,1,Reef edge
65,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,236,Millepora,dichotoma,210733,1,Reef edge
66,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,21,Millepora,platyphylla,210730,1,Reef edge
