"Index","LT","Age","Country","Locality","Site","Date","GPS Latitude N","GPS Longitude E","End-Start (Intercept)","Genus","Species","AphiaID","Depth [m]","ReefZone","Category"
33,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,12,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
34,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
35,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,24,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
36,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,11,"Montipora","sp.",203834,1,"Reef edge","CD"
37,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,2,"Cyphastrea","sp.",206488,1,"Reef edge","CE"
38,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,8,"Porites","sp.",206485,1,"Reef edge","CM"
39,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,"Porites","sp.",206485,1,"Reef edge","CM"
40,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,29,"Porites","sp.",206485,1,"Reef edge","CM"
41,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,"Porites","sp.",206485,1,"Reef edge","CM"
42,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,8,"Porites","sp.",206485,1,"Reef edge","CM"
43,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,12,"Goniastrea","edwardsi",207466,1,"Reef edge","CM"
44,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,7,"Porites","sp.",206485,1,"Reef edge","CM"
45,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,10,"Porites","sp.",206485,1,"Reef edge","CM"
46,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,6,"Dipsastraea","matthaii",758240,1,"Reef edge","CM"
47,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,"Millepora","exaesa",210728,1,"Reef edge","CME"
48,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,19,"Millepora","exaesa",210728,1,"Reef edge","CME"
49,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,5,"Millepora","dichotoma",210733,1,"Reef edge","CME"
50,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,28,"Millepora","dichotoma",210733,1,"Reef edge","CME"
51,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,2,"Millepora","platyphylla",210730,1,"Reef edge","CME"
52,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,12,"Millepora","dichotoma",210733,1,"Reef edge","CME"
53,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,9,"Millepora","dichotoma",210733,1,"Reef edge","CME"
54,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,2,"Millepora","platyphylla",210730,1,"Reef edge","CME"
55,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,20,"Millepora","dichotoma",210733,1,"Reef edge","CME"
56,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,8,"Millepora","dichotoma",210733,1,"Reef edge","CME"
57,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,33,"Millepora","dichotoma",210733,1,"Reef edge","CME"
58,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,31,"Millepora","dichotoma",210733,1,"Reef edge","CME"
59,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,93,"Millepora","dichotoma",210733,1,"Reef edge","CME"
60,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,10,"Millepora","dichotoma",210733,1,"Reef edge","CME"
61,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,11,"Millepora","exaesa",210728,1,"Reef edge","CME"
62,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,78,"Millepora","dichotoma",210733,1,"Reef edge","CME"
63,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,9,"Millepora","exaesa",210728,1,"Reef edge","CME"
64,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,37,"Millepora","dichotoma",210733,1,"Reef edge","CME"
65,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,236,"Millepora","dichotoma",210733,1,"Reef edge","CME"
66,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,21,"Millepora","platyphylla",210730,1,"Reef edge","CME"
67,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,12,"Millepora","dichotoma",210733,1,"Reef edge","CME"
68,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,50,"Millepora","dichotoma",210733,1,"Reef edge","CME"
69,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,26,"Millepora","dichotoma",210733,1,"Reef edge","CME"
70,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,11,"Millepora","dichotoma",210733,1,"Reef edge","CME"
71,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,75,"Millepora","dichotoma",210733,1,"Reef edge","CME"
72,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,15,"Millepora","dichotoma",210733,1,"Reef edge","CME"
73,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,9,"Tridacna","maxima",207675,1,"Reef edge","MOLL"
74,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,2,"Ceraesignum","maximum",766307,1,"Reef edge","MOLL"
75,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,2,"Tridacna","maxima",207675,1,"Reef edge","MOLL"
76,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,4,"Echinometra","mathaei",213383,1,"Reef edge","OT"
77,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,40,NA,NA,NA,1,"Reef edge",NA
78,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,3,NA,NA,NA,1,"Reef edge",NA
78,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,3,NA,NA,NA,1,"Reef edge",NA
79,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,56,NA,NA,NA,1,"Reef edge",NA
80,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,10,NA,NA,NA,1,"Reef edge",NA
80,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,10,NA,NA,NA,1,"Reef edge",NA
